perc, mean, std, median, min, max
35, 0.008823147148359568, 0.0024529318264262107, 0.008456799499981571, 0.0048398770013591275, 0.013002331994357519
36, 0.010711125149100553, 0.0027622614039018345, 0.010327163996407762, 0.006291750003583729, 0.01903198800573591
37, 0.012428284199268091, 0.0027102802012246153, 0.012275390996364877, 0.005907732003834099, 0.020032860993524082
38, 0.020815897799184312, 0.017592058072802768, 0.014076513492909726, 0.0067435119999572635, 0.0713316629990004
39, 0.05641593444888713, 0.09533725085962604, 0.02312191300006816, 0.011404416000004858, 0.44505431898869574
40, 0.05823356670007342, 0.05333846298281059, 0.036610134498914704, 0.010075169004267082, 0.18585998300113715
41, 0.2891560263997235, 0.7367731979194241, 0.0712168020036188, 0.011389075996703468, 3.4349106080044294
42, 0.3731463337026071, 0.5523648374017841, 0.0993760565033881, 0.0104886540066218, 2.081821778003359
43, 0.43198725820184336, 0.47040547591477805, 0.20750020300329197, 0.02804843199555762, 1.5972486240061698
44, 0.25469359620037724, 0.26385073554418176, 0.1629932879950502, 0.02552356400701683, 1.038530392004759
45, 0.8292649024006096, 2.0653251697267447, 0.2522830000016256, 0.016423792010755278, 9.527287810997223
46, 0.22201823815048555, 0.23322984466300103, 0.15175926399388118, 0.018913474996224977, 1.0242720719979843
47, 1.2403823594984715, 1.9964669183248525, 0.468064216998755, 0.03062437698827125, 7.261654203000944
48, 1.0292991993024772, 1.8618775854369534, 0.2673346930096159, 0.011604301005718298, 7.004442782999831
49, 1.1787589757484966, 2.5769991833395367, 0.19732973449572455, 0.013537751001422293, 11.034921817990835
50, 2.595575026550068, 7.200548441080335, 0.48026555650722, 0.01212584700260777, 33.416288799999165
