perc, mean, std, median, min, max
35, 0.0037739361570474053, 0.0007948350627770438, 0.0037410479999380186, 0.0026843319938052446, 0.005654745997162536
36, 0.004356899048434571, 0.0011371996083276805, 0.004191928499494679, 0.002770947990939021, 0.007097726993379183
37, 0.0038859624734246417, 0.0007491692392088058, 0.003791095004999079, 0.0028666540019912645, 0.005048232997069135
38, 0.004902108148962725, 0.0011010674081167618, 0.004870483491686173, 0.003207941001164727, 0.006785846009734087
39, 0.0048976438498357314, 0.0009241899736160876, 0.004845609000767581, 0.0029444190004142, 0.007008397995377891
40, 0.0060447170981206, 0.000980422144023919, 0.006072636999306269, 0.0036164779885439202, 0.007795404002536088
41, 0.007165888948657084, 0.0012372768872114632, 0.007085129494953435, 0.0045782530069118366, 0.010630380988004617
42, 0.007363305951002985, 0.0015374979848568936, 0.00730286400357727, 0.005172491000848822, 0.010643650995916687
43, 0.007251101102883695, 0.0010822371943844482, 0.007008266504271887, 0.005927624995820224, 0.010340249005821534
44, 0.00802419700132879, 0.0019272285544222226, 0.007718275999650359, 0.005603398007224314, 0.014105157999438234
45, 0.008050929947210917, 0.001760571227345853, 0.00711933099955786, 0.006422592996386811, 0.01262577300076373
46, 0.009133981548802694, 0.0032338139748390045, 0.007660082490474451, 0.0058609690022422, 0.018534579008701257
47, 0.015426001369058596, 0.010293040783073033, 0.012961498010554351, 0.005597334005869925, 0.0395924429903971
48, 0.01345322705195653, 0.013297312567303031, 0.008799724004347809, 0.005146523995790631, 0.06114386601257138
49, 0.008358624628990105, 0.0036096538120933153, 0.006737098010489717, 0.005248945002676919, 0.018248372987727635
50, 0.011534859525119444, 0.011383785006908113, 0.00770499900681898, 0.004870986987953074, 0.047570499998982996
